cluster_id,phrase,keep,canonical,source
0,Agatha Christie,true,Agatha Christie,llm
0,American,false,American,llm
0,Anna Karenina,true,Anna Karenina,llm
0,British,false,British,llm
0,Chapter,false,Chapter,llm
0,Charles Dickens,true,Charles Dickens,llm
0,Count of Monte Cristo,true,Count of Monte Cristo,llm
0,Dick,true,Moby Dick,llm
0,Dickens,true,Charles Dickens,llm
0,Don Quixote,true,Don Quixote,llm
0,Edgar Allan Poe,true,Edgar Allan Poe,llm
0,England,true,England,llm
0,English,false,English,llm
0,Ernest Hemingway,true,Ernest Hemingway,llm
0,French,false,French,llm
0,George,false,George,llm
0,George Eliot,true,George Eliot,llm
0,George Orwell,true,George Orwell,llm
0,German,false,German,llm
0,Grapes of Wrath,true,Grapes of Wrath,llm
0,Greek,false,Greek,llm
0,Harry Potter,true,Harry Potter,llm
0,Henry James,true,Henry James,llm
0,India,true,India,llm
0,James,false,James,llm
0,James Joyce,true,James Joyce,llm
0,Jane Austen,true,Jane Austen,llm
0,John,false,John,llm
0,John Steinbeck,true,John Steinbeck,llm
0,Kurt Vonnegut,true,Kurt Vonnegut,llm
0,Lewis,true,Lewis Carroll,llm
0,Lewis Carroll,true,Lewis Carroll,llm
0,London,true,London,llm
0,Margaret Atwood,true,Margaret Atwood,llm
0,Mark Twain,true,Mark Twain,llm
0,Moby,true,Moby Dick,llm
0,Moby Dick,true,Moby Dick,llm
0,Nathaniel Hawthorne,true,Nathaniel Hawthorne,llm
0,New York City,true,New York City,llm
0,Oscar Wilde,true,Oscar Wilde,llm
0,Paris,true,Paris,llm
0,Pulitzer Prize,true,Pulitzer Prize,llm
0,Shakespeare,true,Shakespeare,llm
0,Stephen King,true,Stephen King,llm
0,War,false,War,llm
0,William Faulkner,true,William Faulkner,llm
0,of the Flies,true,Lord of the Flies,llm
1,African,true,Africa,llm
1,April,false,April,llm
1,August,false,August,llm
1,Britain,true,Britain,llm
1,British,false,British,llm
1,China,true,China,llm
1,December,false,December,llm
1,Egypt,true,Egypt,llm
1,Europe,true,Europe,llm
1,European,true,Europe,llm
1,February,false,February,llm
1,France,true,France,llm
1,French,false,French,llm
1,German,false,German,llm
1,Germany,true,Germany,llm
1,Great Britain,true,Great Britain,llm
1,India,true,India,llm
1,Iran,true,Iran,llm
1,Italy,true,Italy,llm
1,January,false,January,llm
1,Japan,true,Japan,llm
1,July,false,July,llm
1,June,false,June,llm
1,March,false,March,llm
1,Northern Ireland,true,Northern Ireland,llm
1,November,false,November,llm
1,October,false,October,llm
1,Russia,true,Russia,llm
1,Russian,false,Russian,llm
1,September,false,September,llm
1,South Africa,true,South Africa,llm
1,South American,true,South America,llm
1,Soviet Union,true,Soviet Union,llm
2,According,false,According,llm
2,America,true,America,llm
2,Black,false,Black,llm
2,British,false,British,llm
2,California,true,California,llm
2,Chicago,true,Chicago,llm
2,Chinese,false,Chinese,llm
2,Christmas,true,Christmas,llm
2,Dutch,false,Dutch,llm
2,England,true,England,llm
2,English,false,English,llm
2,France,true,France,llm
2,French,false,French,llm
2,German,false,German,llm
2,Greek,false,Greek,llm
2,Irish,false,Irish,llm
2,Italian,false,Italian,llm
2,Japan,true,Japan,llm
2,Japanese,false,Japanese,llm
2,Jimmy of the Clue Crew,false,Jimmy of the Clue Crew,llm
2,Kelly of the Clue Crew,false,Kelly of the Clue Crew,llm
2,Latin,false,Latin,llm
2,London,true,London,llm
2,Native American,true,Native American,llm
2,Native Americans,true,Native American,llm
2,New Mexico,true,New Mexico,llm
2,New York,true,New York,llm
2,New York City,true,New York City,llm
2,North America,true,North America,llm
2,Olympic,false,Olympic,llm
2,Roman,false,Roman,llm
2,Russian,false,Russian,llm
2,Sarah of the Clue Crew,false,Sarah of the Clue Crew,llm
2,South Africa,true,South Africa,llm
2,Spanish,false,Spanish,llm
2,Washington,true,Washington,llm
2,World War II,true,World War II,llm
2,the Latin,false,the Latin,llm
3,Abraham Lincoln,true,Abraham Lincoln,llm
3,Al Capone,true,Al Capone,llm
3,America,true,America,llm
3,American,false,American,llm
3,Anthony,false,Anthony,llm
3,Army,false,Army,llm
3,Black,false,Black,llm
